"geo","n_transactions","median_price","detached_share_pct","semi_share_pct","terraced_share_pct","flat_share_pct","newbuild_share_pct"
"NORTH DEVON","1772","289975","35.8352144469526","17.720090293453726","25.28216704288939","11.343115124153499","5.417607223476298"
"TORBAY","2396","245000","20.325542570951587","22.245409015025043","27.54590984974958","24.040066777963272","3.4641068447412353"
"HINCKLEY AND BOSWORTH","2100","259975","35.57142857142857","37.42857142857143","17.333333333333332","5.428571428571429","13.19047619047619"
"SOUTH STAFFORDSHIRE","1512","275000","34.523809523809526","37.1031746031746","16.46825396825397","6.283068783068783","3.9682539682539684"
"BEXLEY","3217","415000","5.502020516008704","35.778675784892755","30.58750388560771","23.842088902704383","2.735467827168169"
"STEVENAGE","1059","330000","10.103871576959396","18.602455146364495","47.780925401322","18.319169027384326","8.215297450424929"
"NORTH NORTHAMPTONSHIRE","6372","255000","32.015065913371","33.34902699309479","24.356559949780287","5.869428750784683","17.812303829252983"
"DERBYSHIRE DALES","1203","315000","38.90274314214464","25.18703241895262","20.947630922693268","4.405652535328346","5.15378221113882"
"PENDLE","1581","132000","12.460468058191019","19.41808981657179","60.215053763440864","2.5932953826691967","4.87033523086654"
"HASTINGS","1638","268750","15.934065934065934","17.94871794871795","27.106227106227106","33.02808302808303","5.311355311355311"
"SHEFFIELD","7917","203024","14.576228369331817","32.51231527093596","30.188202601995705","16.268788682581786","6.391309839585702"
"DOVER","2191","285000","20.67549064354176","29.529895025102693","31.446827932450937","11.958010041077134","15.015974440894569"
"BROXTOWE","1867","240000","33.26191751472951","36.63631494376004","18.47884306373862","7.445099089448313","10.819496518478843"
"SEFTON","4822","208000","17.523849025300706","40.315221899626714","21.33969307341352","14.724180837826628","11.862297801742017"
"SANDWELL","3356","200000","10.458879618593564","40.01787842669845","31.108462455303933","12.991656734207389","2.592371871275328"
"BASINGSTOKE AND DEANE","2882","365000","29.701596113809853","21.26995142262318","29.424011103400417","15.232477446217905","8.570437196391396"
"COTSWOLD","1592","450000","34.233668341708544","21.984924623115578","21.92211055276382","11.180904522613066","7.160804020100502"
"CHESHIRE EAST","7956","285000","32.81799899446958","28.758169934640524","24.283559577677224","8.62242332830568","12.908496732026144"
"TAMESIDE","3562","200000","11.538461538461538","34.362717574396406","41.128579449747335","7.1869736103312745","5.951712521055587"
"NORTH KESTEVEN","2112","231000","49.43181818181818","29.59280303030303","13.636363636363637","1.9886363636363635","15.340909090909092"
"SWINDON","3972","272000","19.46122860020141","27.416918429003022","34.919436052366564","13.947633434038268","12.386706948640484"
"BOSTON","1144","192000","47.72727272727273","26.223776223776223","16.695804195804197","3.3216783216783217","12.237762237762238"
"CALDERDALE","3409","173000","11.381636843649163","24.728659430918157","47.37459665591082","10.824288647697271","3.3734232912877675"
"STAFFORDSHIRE MOORLANDS","1627","225000","33.62015980331899","35.21819299323909","20.405654578979718","2.765826674861709","7.867240319606638"
"WINCHESTER","2129","450000","32.50352278064819","21.79426961014561","24.189760450915923","15.688116486613433","15.73508689525599"
"WOLVERHAMPTON","2844","200000","16.10407876230661","42.862165963431785","24.68354430379747","10.724331926863572","3.4458509142053444"
"THE VALE OF GLAMORGAN","2004","272500","22.904191616766468","27.045908183632733","32.53493013972056","11.976047904191617","5.289421157684631"
"WIRRAL","5201","200000","16.612189963468563","38.06960199961546","27.340895981542012","12.959046337242837","2.7686983272447607"
